Date,Revenue
2023-03-31,"$23,329"
2022-12-31,"$24,318"
2022-09-30,"$21,454"
2022-06-30,"$16,934"
2022-03-31,"$18,756"
2021-12-31,"$17,719"
2021-09-30,"$13,757"
2021-06-30,"$11,958"
2021-03-31,"$10,389"
2020-12-31,"$10,744"
2020-09-30,"$8,771"
2020-06-30,"$6,036"
2020-03-31,"$5,985"
2019-12-31,"$7,384"
2019-09-30,"$6,303"
2019-06-30,"$6,350"
2019-03-31,"$4,541"
2018-12-31,"$7,226"
2018-09-30,"$6,824"
2018-06-30,"$4,002"
2018-03-31,"$3,409"
2017-12-31,"$3,288"
2017-09-30,"$2,985"
2017-06-30,"$2,790"
2017-03-31,"$2,696"
2016-12-31,"$2,285"
2016-09-30,"$2,298"
2016-06-30,"$1,270"
2016-03-31,"$1,147"
2015-12-31,"$1,214"
2015-09-30,$937
2015-06-30,$955
2015-03-31,$940
2014-12-31,$957
2014-09-30,$852
2014-06-30,$769
2014-03-31,$621
2013-12-31,$615
2013-09-30,$431
2013-06-30,$405
2013-03-31,$562
2012-12-31,$306
2012-09-30,$50
2012-06-30,$27
2012-03-31,$30
2011-12-31,$39
2011-09-30,$58
2011-06-30,$58
2011-03-31,$49
2010-12-31,$36
2010-09-30,$31
2010-06-30,$28
2010-03-31,$21
2009-12-31,
2009-09-30,$46
2009-06-30,$27
